date,total_cases,net_cases,fortnight_average
2024-03-28,3011181,103,82.71428571428571
2024-03-27,3011078,90,76.28571428571429
2024-03-26,3010988,196,87.92857142857143
2024-03-25,3010792,0,87.92857142857143
2024-03-24,3010792,0,87.92857142857143
2024-03-23,3010792,127,78.85714285714286
2024-03-22,3010665,99,79.71428571428571
2024-03-21,3010566,130,77.64285714285714
2024-03-20,3010436,83,80.35714285714286
2024-03-19,3010353,206,71.14285714285714
2024-03-18,3010147,0,100.78571428571429
2024-03-17,3010147,0,100.78571428571429
2024-03-16,3010147,102,93.5
2024-03-15,3010045,125,84.57142857142857
2024-03-14,3009920,0,91.92857142857143
2024-03-13,3009920,359,75.92857142857143
2024-03-12,3009561,0,81.78571428571429
2024-03-11,3009561,0,103.85714285714286
2024-03-10,3009561,0,103.85714285714286
2024-03-09,3009561,111,95.92857142857143
2024-03-08,3009450,101,97.07142857142857
2024-03-07,3009349,121,96.28571428571429
2024-03-06,3009228,77,101.21428571428571
2024-03-05,3009151,415,78.92857142857143
2024-03-04,3008736,0,98.57142857142857
2024-03-03,3008736,0,98.57142857142857
2024-03-02,3008736,0,98.57142857142857
2024-03-01,3008736,103,97.57142857142857
2024-02-29,3008633,135,95.35714285714286
2024-02-28,3008498,82,98.92857142857143
2024-02-27,3008416,309,83.85714285714286
2024-02-26,3008107,0,105.85714285714286
2024-02-25,3008107,0,105.85714285714286
2024-02-24,3008107,117,97.5
2024-02-23,3007990,110,96.85714285714286
2024-02-22,3007880,146,97.0
2024-02-21,3007734,103,99.71428571428571
2024-02-20,3007631,275,87.07142857142857
2024-02-19,3007356,0,109.07142857142857
2024-02-18,3007356,0,109.07142857142857
2024-02-17,3007356,89,102.71428571428571
2024-02-16,3007267,104,105.57142857142857
2024-02-15,3007163,132,1172.357142857143
2024-02-14,3007031,98,1175.5
2024-02-13,3006933,308,1161.357142857143
2024-02-12,3006625,0,1189.357142857143
2024-02-11,3006625,0,1189.357142857143
2024-02-10,3006625,101,1182.142857142857
2024-02-09,3006524,148,1171.5714285714287
2024-02-08,3006376,141,1171.9285714285713
2024-02-07,3006235,98,1174.9285714285713
2024-02-06,3006137,308,1163.0
2024-02-05,3005829,0,1190.357142857143
2024-02-04,3005829,0,1190.357142857143
2024-02-03,3005829,144,1180.0714285714287
2024-02-02,3005685,15067,113.35714285714286
2024-02-01,2990618,142,117.57142857142857
2024-01-31,2990476,110,124.21428571428571
2024-01-30,2990366,392,-959.6428571428571
2024-01-29,2989974,0,-922.8571428571429
2024-01-28,2989974,0,-922.8571428571429
2024-01-27,2989974,0,-922.8571428571429
2024-01-26,2989974,146,-915.3571428571429
2024-01-25,2989828,140,-906.0
2024-01-24,2989688,141,-886.6428571428571
2024-01-23,2989547,383,-899.3571428571429
2024-01-22,2989164,0,-850.2142857142857
2024-01-21,2989164,0,-850.2142857142857
2024-01-20,2989164,133,-859.7142857142857
2024-01-19,2989031,201,-840.0714285714286
2024-01-18,2988830,203,-862.5714285714286
2024-01-17,2988627,-14782,208.64285714285714
2024-01-16,3003409,515,325.0
2024-01-15,3002894,0,325.0
2024-01-14,3002894,0,325.0
2024-01-13,3002894,251,307.07142857142856
2024-01-12,3002643,271,287.7142857142857
2024-01-11,3002372,412,258.2857142857143
2024-01-10,3001960,205,243.64285714285714
2024-01-09,3001755,688,194.5
2024-01-08,3001067,0,194.5
2024-01-07,3001067,0,194.5
2024-01-06,3001067,476,160.5
2024-01-05,3000591,-112,181.71428571428572
2024-01-04,3000703,215,182.42857142857142
2024-01-03,3000488,2144,49.357142857142854
2024-01-02,2998344,0,62.07142857142857
2024-01-01,2998344,0,102.92857142857143
2023-12-31,2998344,0,102.92857142857143
2023-12-30,2998344,0,102.92857142857143
2023-12-29,2998344,0,119.35714285714286
2023-12-28,2998344,0,139.64285714285714
2023-12-27,2998344,0,156.85714285714286
2023-12-26,2998344,0,166.92857142857142
2023-12-25,2998344,0,207.07142857142858
2023-12-24,2998344,0,207.07142857142858
2023-12-23,2998344,185,193.85714285714286
2023-12-22,2998159,225,191.5
2023-12-21,2997934,281,187.71428571428572
2023-12-20,2997653,178,195.42857142857142
2023-12-19,2997475,572,165.85714285714286
2023-12-18,2996903,0,201.0
2023-12-17,2996903,0,201.0
2023-12-16,2996903,230,184.57142857142858
2023-12-15,2996673,284,177.28571428571428
2023-12-14,2996389,241,173.64285714285714
2023-12-13,2996148,141,179.78571428571428
2023-12-12,2996007,562,150.5
2023-12-11,2995445,0,186.14285714285714
2023-12-10,2995445,0,186.14285714285714
2023-12-09,2995445,192,172.42857142857142
2023-12-08,2995253,228,173.71428571428572
2023-12-07,2995025,286,170.14285714285714
2023-12-06,2994739,158,175.42857142857142
2023-12-05,2994581,492,140.42857142857142
2023-12-04,2994089,0,175.57142857142858
2023-12-03,2994089,0,175.57142857142858
2023-12-02,2994089,182,162.57142857142858
2023-12-01,2993907,190,166.35714285714286
2023-11-30,2993717,227,166.92857142857142
2023-11-29,2993490,152,176.64285714285714
2023-11-28,2993338,499,155.71428571428572
2023-11-27,2992839,0,197.5
2023-11-26,2992839,0,197.5
2023-11-25,2992839,246,179.92857142857142
2023-11-24,2992593,236,182.5
2023-11-23,2992357,232,297.42857142857144
2023-11-22,2992125,2,297.2857142857143
2023-11-21,2992123,492,262.14285714285717
2023-11-20,2991631,0,262.14285714285717
2023-11-19,2991631,0,262.14285714285717
2023-11-18,2991631,243,244.78571428571428
2023-11-17,2991388,235,228.0
2023-11-16,2991153,288,207.42857142857142
2023-11-15,2990865,206,192.71428571428572
2023-11-14,2990659,585,150.92857142857142
2023-11-13,2990074,0,150.92857142857142
2023-11-12,2990074,0,150.92857142857142
2023-11-11,2990074,272,131.5
2023-11-10,2989802,1841,0.0
2023-11-03,2987961,0,100.5
2023-10-27,2987961,1407,86.5
2023-10-20,2986554,1211,72.5
2023-10-13,2985343,1015,0.0
2023-10-06,2984328,0,60.0
2023-09-29,2984328,840,59.0
2023-09-22,2983488,826,51.42857142857143
2023-09-15,2982662,720,42.142857142857146
2023-09-08,2981942,590,67.5
2023-09-01,2981352,945,32.57142857142857
2023-08-25,2980407,456,36.0
2023-08-18,2979951,504,43.42857142857143
2023-08-11,2979447,608,21.142857142857142
2023-08-04,2978839,296,79.07142857142857
2023-07-28,2978543,1107,30.928571428571427
2023-07-21,2977436,433,37.42857142857143
2023-07-14,2977003,524,55.285714285714285
2023-07-07,2976479,774,181.57142857142858
2023-06-30,2975705,2542,241.64285714285714
2023-06-23,2973163,3383,278.0
